                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3873,                 3.8918,                 2.2371,                0.00741,                0.33333,                0.04134,                0.01702,                  1.744,                 3.6245,                 2.1507,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.4671,                 4.4447,                 2.2609,                0.00626,                    0.3,                0.04162,                0.01962,                 1.5645,                 3.6183,                 1.9491,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 2.3717,                 3.9157,                 2.0873,                0.00743,                0.36111,                0.05538,                0.02308,                 1.4409,                 3.5938,                 1.8693,             0.00011206,             0.00011206,             0.00011206
                      4,                 1.5287,                 3.3734,                 1.5835,                0.00771,                0.36111,                0.07049,                0.03497,                  1.399,                 3.5692,                 1.7193,             0.00015252,             0.00015252,             0.00015252
                      5,                 1.4459,                  3.179,                 1.5824,                0.00799,                0.36111,                0.06539,                0.03144,                 1.3396,                 3.5454,                 1.6459,             0.00019214,             0.00019214,             0.00019214
                      6,                 1.2637,                 2.9388,                 1.4212,                0.01131,                0.64444,                0.10467,                0.06508,                  1.082,                 3.4306,                 1.4291,              0.0002309,              0.0002309,              0.0002309
                      7,                 1.3346,                 2.9051,                 1.4517,                0.01237,                    0.7,                0.20057,                0.12175,                 1.0932,                 3.3597,                 1.3991,             0.00026882,             0.00026882,             0.00026882
                      8,                 1.3204,                 2.6858,                  1.476,                0.01399,                0.78333,                0.37213,                0.23362,                 1.1032,                  3.274,                 1.3461,             0.00030589,             0.00030589,             0.00030589
                      9,                 1.0701,                 2.1317,                 1.3836,                0.01489,                0.81667,                0.37215,                0.22797,                 1.1988,                 3.2348,                 1.3664,             0.00034211,             0.00034211,             0.00034211
                     10,                 1.1902,                 2.4715,                 1.4569,                0.01462,                0.81667,                0.45084,                0.25164,                 1.3134,                 3.1979,                 1.4589,             0.00037749,             0.00037749,             0.00037749
                     11,                 1.3181,                 1.9947,                 1.4936,                0.01503,                   0.85,                 0.4841,                0.27631,                 1.2985,                 3.1267,                 1.5026,             0.00041201,             0.00041201,             0.00041201
                     12,                 1.3308,                  1.798,                 1.4224,                0.81196,                0.06552,                0.45886,                0.24569,                 1.3665,                 3.1029,                 1.5428,             0.00044568,             0.00044568,             0.00044568
