                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5537,                 3.9493,                 2.2682,                0.00621,                0.33333,                0.04122,                0.01832,                 1.7619,                 3.6945,                 2.0554,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.8704,                 3.6134,                 1.8461,                0.00751,                0.39583,                0.05349,                0.02793,                 1.6113,                 3.6868,                 1.8808,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                 1.6759,                 3.3725,                 1.7669,                0.00818,                0.41667,                0.08831,                0.05513,                 1.5181,                 3.6565,                 1.7793,             0.00015408,             0.00015408,             0.00015408
                      4,                 1.3375,                 3.0965,                 1.4817,                0.00881,                 0.4625,                0.12063,                 0.0789,                 1.2944,                 3.5593,                 1.5419,             0.00020798,             0.00020798,             0.00020798
                      5,                 1.1733,                 2.6972,                 1.3816,                0.01163,                   0.75,                0.43023,                0.25491,                  1.017,                 3.3191,                 1.3631,             0.00026076,             0.00026076,             0.00026076
                      6,                 1.1448,                 2.3887,                   1.37,                0.01205,                   0.75,                 0.4556,                0.23429,                 1.1144,                 3.3028,                 1.3756,              0.0003124,              0.0003124,              0.0003124
                      7,                 1.2421,                 2.2868,                 1.4217,                0.01704,                0.77083,                0.50273,                0.23838,                 1.4402,                 3.2725,                 1.5371,             0.00036291,             0.00036291,             0.00036291
                      8,                 1.2177,                   2.01,                 1.3383,                0.02522,                0.79167,                0.49588,                0.23472,                 1.3674,                 3.2761,                  1.491,             0.00041229,             0.00041229,             0.00041229
                      9,                 1.1503,                 1.9441,                  1.308,                0.02804,                0.79167,                 0.4016,                0.20032,                 1.2924,                 3.2458,                 1.4456,             0.00046054,             0.00046054,             0.00046054
                     10,                 1.0423,                  1.906,                 1.2387,                0.45602,                0.16667,                0.32731,                0.17646,                 1.1319,                 3.1605,                 1.3718,             0.00050765,             0.00050765,             0.00050765
                     11,                 1.1266,                 1.8967,                 1.2894,                0.85397,                0.16065,                0.39866,                0.21051,                 1.0973,                 3.0455,                 1.3613,             0.00055364,             0.00055364,             0.00055364
                     12,                0.94286,                 1.6509,                 1.1597,                0.84085,                0.22917,                0.52697,                0.32812,                 1.1321,                 2.8454,                 1.3653,             0.00059849,             0.00059849,             0.00059849
                     13,                 1.0848,                 1.7878,                 1.3203,                 0.4782,                 0.3125,                0.53403,                0.35479,                 1.1446,                 2.7217,                  1.379,             0.00064221,             0.00064221,             0.00064221
                     14,                 1.1592,                 1.8061,                 1.3805,                0.45811,                  0.375,                0.54638,                0.33663,                 1.1336,                 2.6524,                  1.352,              0.0006848,              0.0006848,              0.0006848
                     15,                 1.0696,                 1.7488,                 1.3154,                0.48404,                0.35417,                 0.5421,                0.36875,                  1.113,                 2.6471,                 1.3009,             0.00072625,             0.00072625,             0.00072625
                     16,                 1.0157,                 1.6508,                 1.2159,                0.48404,                0.35417,                 0.5421,                0.36875,                  1.113,                 2.6471,                 1.3009,             0.00076658,             0.00076658,             0.00076658
                     17,                 1.1375,                 1.6598,                 1.3165,                0.59391,                0.33333,                0.54652,                0.34929,                 1.0849,                 2.6096,                 1.3081,             0.00080577,             0.00080577,             0.00080577
                     18,                 1.1144,                 1.6389,                 1.2402,                 0.6331,                0.29167,                0.55725,                0.36769,                 1.0941,                    2.7,                 1.2624,             0.00084383,             0.00084383,             0.00084383
                     19,                 1.1544,                 1.7297,                  1.328,                 0.6331,                0.29167,                0.55725,                0.36769,                 1.0941,                    2.7,                 1.2624,             0.00088076,             0.00088076,             0.00088076
                     20,                  1.067,                 1.6585,                 1.2919,                0.77159,                   0.25,                0.59959,                0.35832,                 1.1954,                 2.7485,                 1.3032,             0.00091656,             0.00091656,             0.00091656
                     21,                 1.0655,                 1.5717,                  1.262,                0.76692,                   0.25,                0.63946,                0.43068,                 1.1623,                 2.6058,                 1.3266,             0.00095123,             0.00095123,             0.00095123
                     22,                 1.0668,                 1.5772,                 1.2312,                0.76692,                   0.25,                0.63946,                0.43068,                 1.1623,                 2.6058,                 1.3266,             0.00098476,             0.00098476,             0.00098476
                     23,                 1.0648,                 1.5756,                 1.1873,                0.51983,                0.45292,                0.57825,                0.37289,                 1.2615,                 2.6331,                 1.4244,              0.0010172,              0.0010172,              0.0010172
                     24,                 1.0335,                 1.5519,                 1.2321,                0.51983,                0.45292,                0.57825,                0.37289,                 1.2615,                 2.6331,                 1.4244,              0.0010484,              0.0010484,              0.0010484
                     25,                 1.0592,                 1.5098,                  1.233,                0.51096,                0.64583,                0.63826,                0.39402,                 1.2153,                 2.3013,                 1.3631,              0.0010786,              0.0010786,              0.0010786
                     26,                 1.0139,                   1.47,                 1.1932,                0.51096,                0.64583,                0.63826,                0.39402,                 1.2153,                 2.3013,                 1.3631,              0.0010753,              0.0010753,              0.0010753
                     27,                0.97482,                 1.5386,                 1.1996,                0.53541,                0.77083,                0.63305,                0.36132,                 1.3269,                 2.2066,                 1.4255,              0.0010753,              0.0010753,              0.0010753
                     28,                0.97245,                 1.4459,                 1.2325,                0.53541,                0.77083,                0.63305,                0.36132,                 1.3269,                 2.2066,                 1.4255,              0.0010612,              0.0010612,              0.0010612
                     29,                0.97236,                 1.4025,                 1.1806,                0.53316,                0.70125,                 0.6669,                0.39266,                 1.4406,                 2.1052,                 1.5828,               0.001047,               0.001047,               0.001047
                     30,                0.97091,                 1.4575,                 1.1779,                0.53316,                0.70125,                 0.6669,                0.39266,                 1.4406,                 2.1052,                 1.5828,              0.0010329,              0.0010329,              0.0010329
                     31,                0.99239,                 1.3912,                 1.2112,                0.52108,                0.81901,                0.68519,                0.37523,                 1.4205,                 2.0218,                 1.5612,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.0013,                 1.5171,                 1.2215,                0.52108,                0.81901,                0.68519,                0.37523,                 1.4205,                 2.0218,                 1.5612,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.0162,                 1.3888,                 1.1859,                0.56759,                0.75417,                 0.6336,                0.37519,                 1.1438,                 2.0261,                 1.3368,             0.00099044,             0.00099044,             0.00099044
                     34,                0.95421,                 1.3812,                 1.1497,                0.56759,                0.75417,                 0.6336,                0.37519,                 1.1438,                 2.0261,                 1.3368,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.0089,                 1.3901,                 1.1378,                0.60416,                0.71865,                0.61271,                0.40875,                 1.0305,                 2.2904,                 1.2878,             0.00096215,             0.00096215,             0.00096215
                     36,                0.99572,                 1.4004,                 1.2288,                0.60416,                0.71865,                0.61271,                0.40875,                 1.0305,                 2.2904,                 1.2878,               0.000948,               0.000948,               0.000948
                     37,                0.96256,                   1.48,                 1.1842,                0.60865,                 0.6899,                0.66353,                0.41523,                 1.0082,                 2.1206,                 1.2497,             0.00093385,             0.00093385,             0.00093385
                     38,                0.96289,                 1.4087,                 1.1782,                0.60865,                 0.6899,                0.66353,                0.41523,                 1.0082,                 2.1206,                 1.2497,              0.0009197,              0.0009197,              0.0009197
                     39,                0.96399,                 1.2989,                 1.1214,                0.65879,                0.70689,                0.71016,                0.46888,                0.99968,                 1.8786,                 1.1938,             0.00090556,             0.00090556,             0.00090556
                     40,                0.96224,                 1.2834,                 1.1317,                0.65879,                0.70689,                0.71016,                0.46888,                0.99968,                 1.8786,                 1.1938,             0.00089141,             0.00089141,             0.00089141
                     41,                0.96753,                  1.447,                 1.2273,                0.61381,                 0.6875,                0.72125,                0.48655,                0.97038,                 1.7247,                 1.1706,             0.00087726,             0.00087726,             0.00087726
                     42,                0.94442,                 1.2248,                 1.1444,                0.61381,                 0.6875,                0.72125,                0.48655,                0.97038,                 1.7247,                 1.1706,             0.00086312,             0.00086312,             0.00086312
                     43,                0.92651,                 1.2462,                 1.1259,                0.77143,                0.66712,                0.73889,                0.49586,                0.92451,                 1.7109,                 1.1193,             0.00084897,             0.00084897,             0.00084897
                     44,                0.96513,                 1.3319,                 1.1803,                0.77143,                0.66712,                0.73889,                0.49586,                0.92451,                 1.7109,                 1.1193,             0.00083482,             0.00083482,             0.00083482
                     45,                0.88439,                 1.3241,                 1.1128,                0.62838,                0.74552,                0.71126,                0.47915,                   0.98,                 1.7342,                 1.1263,             0.00082067,             0.00082067,             0.00082067
                     46,                0.92386,                 1.3454,                 1.1575,                0.62838,                0.74552,                0.71126,                0.47915,                   0.98,                 1.7342,                 1.1263,             0.00080653,             0.00080653,             0.00080653
                     47,                0.92611,                 1.3399,                 1.1441,                0.62741,                 0.8125,                0.72551,                0.48685,                 1.0368,                 1.7549,                 1.1417,             0.00079238,             0.00079238,             0.00079238
                     48,                0.99073,                 1.3953,                 1.2253,                0.62741,                 0.8125,                0.72551,                0.48685,                 1.0368,                 1.7549,                 1.1417,             0.00077823,             0.00077823,             0.00077823
                     49,                0.90679,                 1.2628,                 1.1233,                0.61188,                0.78101,                0.74207,                 0.4615,                 1.1416,                 1.7431,                  1.214,             0.00076409,             0.00076409,             0.00076409
                     50,                0.92056,                 1.3046,                 1.1645,                0.61188,                0.78101,                0.74207,                 0.4615,                 1.1416,                 1.7431,                  1.214,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.0052,                 1.3469,                 1.1725,                0.58527,                0.72917,                0.69083,                0.38379,                 1.2582,                 1.7777,                 1.2516,             0.00073579,             0.00073579,             0.00073579
                     52,                0.95784,                 1.3781,                 1.1776,                0.58527,                0.72917,                0.69083,                0.38379,                 1.2582,                 1.7777,                 1.2516,             0.00072164,             0.00072164,             0.00072164
                     53,                0.89141,                 1.2072,                 1.1351,                0.55871,                0.75845,                0.69086,                0.40585,                 1.3121,                 1.7486,                  1.293,              0.0007075,              0.0007075,              0.0007075
                     54,                0.94518,                 1.2815,                  1.187,                0.55871,                0.75845,                0.69086,                0.40585,                 1.3121,                 1.7486,                  1.293,             0.00069335,             0.00069335,             0.00069335
                     55,                0.90852,                 1.3138,                 1.1774,                0.58133,                0.70549,                0.69389,                 0.4307,                 1.2337,                 1.6205,                 1.2662,              0.0006792,              0.0006792,              0.0006792
                     56,                0.86251,                 1.3476,                 1.1443,                0.58133,                0.70549,                0.69389,                 0.4307,                 1.2337,                 1.6205,                 1.2662,             0.00066506,             0.00066506,             0.00066506
                     57,                0.90973,                  1.197,                 1.1225,                 0.7034,                  0.675,                0.68738,                  0.433,                  1.178,                 1.6553,                 1.2563,             0.00065091,             0.00065091,             0.00065091
                     58,                 0.9726,                 1.2114,                 1.1888,                 0.7034,                  0.675,                0.68738,                  0.433,                  1.178,                 1.6553,                 1.2563,             0.00063676,             0.00063676,             0.00063676
                     59,                0.96407,                  1.264,                  1.205,                0.70361,                0.71295,                0.70505,                0.45192,                 1.0609,                 1.6299,                 1.2028,             0.00062262,             0.00062262,             0.00062262
                     60,                0.88443,                 1.2003,                 1.0872,                0.70361,                0.71295,                0.70505,                0.45192,                 1.0609,                 1.6299,                 1.2028,             0.00060847,             0.00060847,             0.00060847
                     61,                0.96788,                  1.297,                 1.1702,                0.70917,                0.71365,                0.72124,                0.49513,                0.98485,                 1.5743,                 1.1939,             0.00059432,             0.00059432,             0.00059432
                     62,                 0.9641,                  1.372,                 1.1679,                0.70917,                0.71365,                0.72124,                0.49513,                0.98485,                 1.5743,                 1.1939,             0.00058017,             0.00058017,             0.00058017
                     63,                  0.876,                 1.3169,                 1.1285,                0.67734,                0.74802,                0.74424,                0.51678,                0.94391,                 1.5459,                 1.1428,             0.00056603,             0.00056603,             0.00056603
                     64,                0.83732,                 1.1744,                 1.0991,                0.67734,                0.74802,                0.74424,                0.51678,                0.94391,                 1.5459,                 1.1428,             0.00055188,             0.00055188,             0.00055188
                     65,                0.90212,                 1.2372,                  1.136,                0.71952,                0.74349,                 0.7506,                0.50089,                0.97411,                 1.5007,                 1.1672,             0.00053773,             0.00053773,             0.00053773
                     66,                0.85245,                 1.1941,                 1.0674,                0.71952,                0.74349,                 0.7506,                0.50089,                0.97411,                 1.5007,                 1.1672,             0.00052359,             0.00052359,             0.00052359
                     67,                0.88824,                 1.1429,                 1.0793,                0.71701,                0.76536,                0.75009,                0.50682,                0.98343,                 1.5158,                 1.2002,             0.00050944,             0.00050944,             0.00050944
                     68,                0.85929,                  1.159,                 1.1307,                0.71701,                0.76536,                0.75009,                0.50682,                0.98343,                 1.5158,                 1.2002,             0.00049529,             0.00049529,             0.00049529
                     69,                0.88611,                 1.1586,                 1.1564,                0.71133,                   0.75,                0.73145,                0.48108,                0.99448,                 1.5066,                 1.2081,             0.00048114,             0.00048114,             0.00048114
                     70,                0.86978,                  1.062,                 1.0573,                0.71133,                   0.75,                0.73145,                0.48108,                0.99448,                 1.5066,                 1.2081,               0.000467,               0.000467,               0.000467
                     71,                0.87771,                 1.2075,                 1.1082,                0.61677,                0.93847,                0.72588,                0.47051,                 1.0054,                 1.5049,                 1.1919,             0.00045285,             0.00045285,             0.00045285
                     72,                0.91128,                 1.1626,                 1.1311,                0.61677,                0.93847,                0.72588,                0.47051,                 1.0054,                 1.5049,                 1.1919,              0.0004387,              0.0004387,              0.0004387
                     73,                0.90555,                 1.1349,                 1.1343,                0.60705,                0.95833,                 0.7115,                0.44801,                0.99784,                  1.503,                 1.1705,             0.00042456,             0.00042456,             0.00042456
